file_path,labels,width,height,format_type
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1022.jpg,cat,500,472,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1023.jpg,cat,349,315,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1024.jpg,cat,484,445,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1025.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1026.jpg,cat,475,315,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1027.jpg,cat,437,396,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1028.jpg,cat,500,323,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1029.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.103.jpg,cat,500,386,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1030.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1031.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1032.jpg,cat,500,331,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1033.jpg,cat,335,448,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1034.jpg,cat,229,254,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1035.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1036.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1037.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1038.jpg,cat,499,365,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1039.jpg,cat,374,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.104.jpg,cat,253,399,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1040.jpg,cat,462,431,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1041.jpg,cat,482,465,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1042.jpg,cat,349,262,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1043.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1044.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1045.jpg,cat,499,445,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1046.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1047.jpg,cat,382,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1048.jpg,cat,350,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1049.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.105.jpg,cat,215,174,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1050.jpg,cat,429,259,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1051.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1052.jpg,cat,399,360,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1053.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1054.jpg,cat,311,310,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1055.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1056.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1057.jpg,cat,375,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1058.jpg,cat,284,341,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1059.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.106.jpg,cat,400,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1060.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1061.jpg,cat,329,245,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1062.jpg,cat,479,360,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1063.jpg,cat,499,300,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1064.jpg,cat,240,158,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1065.jpg,cat,500,373,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1066.jpg,cat,300,224,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1067.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1068.jpg,cat,407,398,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1069.jpg,cat,279,226,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.107.jpg,cat,499,350,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1070.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1071.jpg,cat,500,399,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1072.jpg,cat,419,442,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1073.jpg,cat,199,250,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1074.jpg,cat,334,327,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1075.jpg,cat,499,355,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1076.jpg,cat,300,224,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1077.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1078.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1079.jpg,cat,305,321,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.108.jpg,cat,499,332,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1080.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1081.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1082.jpg,cat,332,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1083.jpg,cat,500,467,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1084.jpg,cat,485,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1085.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1086.jpg,cat,500,435,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1087.jpg,cat,404,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1088.jpg,cat,360,269,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1089.jpg,cat,499,333,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.109.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1090.jpg,cat,499,451,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1091.jpg,cat,349,206,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1092.jpg,cat,500,473,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1093.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1094.jpg,cat,500,409,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1095.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1096.jpg,cat,380,284,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1097.jpg,cat,499,333,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1098.jpg,cat,314,399,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1099.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.11.jpg,cat,431,410,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.110.jpg,cat,374,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1100.jpg,cat,499,460,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1101.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1102.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1103.jpg,cat,359,270,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1104.jpg,cat,445,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1105.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1106.jpg,cat,397,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1107.jpg,cat,434,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1108.jpg,cat,499,307,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1109.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.111.jpg,cat,299,356,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1110.jpg,cat,134,161,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1111.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1112.jpg,cat,480,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1113.jpg,cat,349,325,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1114.jpg,cat,500,243,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1115.jpg,cat,375,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1116.jpg,cat,462,445,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1117.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1118.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1119.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.112.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1120.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1121.jpg,cat,500,456,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1122.jpg,cat,450,480,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1123.jpg,cat,499,409,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1124.jpg,cat,279,348,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1125.jpg,cat,362,469,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1126.jpg,cat,340,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1127.jpg,cat,390,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1128.jpg,cat,450,337,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1129.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.113.jpg,cat,409,308,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1130.jpg,cat,500,400,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1131.jpg,cat,484,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1132.jpg,cat,500,334,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1133.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1134.jpg,cat,199,219,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1135.jpg,cat,368,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1136.jpg,cat,374,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1137.jpg,cat,355,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1138.jpg,cat,199,140,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1139.jpg,cat,500,371,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.114.jpg,cat,350,261,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1140.jpg,cat,499,369,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1141.jpg,cat,488,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1142.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1143.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1144.jpg,cat,266,238,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1145.jpg,cat,500,333,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1146.jpg,cat,500,354,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1147.jpg,cat,236,433,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1148.jpg,cat,500,366,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1149.jpg,cat,319,240,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.115.jpg,cat,231,270,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1150.jpg,cat,299,200,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1151.jpg,cat,238,216,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1152.jpg,cat,492,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1153.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1154.jpg,cat,499,400,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1155.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1156.jpg,cat,479,430,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1157.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1158.jpg,cat,350,389,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1159.jpg,cat,248,448,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.116.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1160.jpg,cat,235,448,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1161.jpg,cat,192,180,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1162.jpg,cat,400,393,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1163.jpg,cat,499,347,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1164.jpg,cat,159,200,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1165.jpg,cat,421,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1166.jpg,cat,499,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1167.jpg,cat,418,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1168.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1169.jpg,cat,400,287,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.117.jpg,cat,390,357,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1170.jpg,cat,446,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1171.jpg,cat,499,448,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1172.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1173.jpg,cat,299,400,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1174.jpg,cat,360,269,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1175.jpg,cat,456,460,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1176.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1177.jpg,cat,299,302,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1178.jpg,cat,499,427,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1179.jpg,cat,499,396,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.118.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1180.jpg,cat,319,240,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1181.jpg,cat,473,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1182.jpg,cat,449,278,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1183.jpg,cat,418,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1184.jpg,cat,451,452,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1185.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1186.jpg,cat,320,300,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1187.jpg,cat,299,225,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1188.jpg,cat,499,334,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1189.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.119.jpg,cat,410,307,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1190.jpg,cat,322,242,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1191.jpg,cat,399,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1192.jpg,cat,499,367,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1193.jpg,cat,319,240,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1194.jpg,cat,349,359,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1195.jpg,cat,500,376,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1196.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1197.jpg,cat,500,484,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1198.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1199.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.12.jpg,cat,300,224,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.120.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1200.jpg,cat,500,300,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1201.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1202.jpg,cat,408,438,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1203.jpg,cat,320,239,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1204.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1205.jpg,cat,319,297,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1206.jpg,cat,499,456,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1207.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1208.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1209.jpg,cat,399,300,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.121.jpg,cat,267,409,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1210.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1211.jpg,cat,249,200,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1212.jpg,cat,319,240,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1213.jpg,cat,265,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1214.jpg,cat,246,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1215.jpg,cat,413,458,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1216.jpg,cat,323,500,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1217.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1218.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1219.jpg,cat,399,450,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.122.jpg,cat,372,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1220.jpg,cat,225,262,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1221.jpg,cat,500,365,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1222.jpg,cat,361,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1223.jpg,cat,428,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1224.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1225.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1226.jpg,cat,277,322,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1227.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1228.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1229.jpg,cat,499,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.123.jpg,cat,345,272,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1230.jpg,cat,499,341,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1231.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1232.jpg,cat,320,239,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1233.jpg,cat,410,307,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1234.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1235.jpg,cat,499,327,JPG
